date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:47:03	302548/302548	---MCZ	200	added ('OK')	font/ttf	etag:%2249dd4-WklfhKdAcvAS7N+U+iA9PqU3g5o%22	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.ttf	D:/DATA%20D/HAE/Undangan/Nginvite-v2/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.ttf	(from https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css)
21:48:43	7052/7052	---M--	524	error ('Unknown%20error')	text/html	date:Tue,%2012%20Dec%202023%2014:50:32%20GMT	https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.svg	D:/DATA%20D/HAE/Undangan/Nginvite-v2/unpkg.com/@phosphor-icons/web@2.0.3/src/fill/Phosphor-Fill.28.delayed	(from https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css)
21:48:43	38844/38844	---M--	200	added ('OK')	application/octet-stream	etag:%2264892571-97bc%22	https://satumomen.com/fonts/million_dreams/MillionDreams.otf	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/million_dreams/MillionDreams.otf	(from https://satumomen.com/fonts/million_dreams/fonts.css)
21:48:43	2995/2995	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Dec%202023%2014:50:33%20GMT	https://satumomen.com/fonts/million_dreams/milliondreams-webfont.woff2	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/million_dreams/milliondreams-webfont.2a.delayed	(from https://satumomen.com/fonts/million_dreams/fonts.css)
21:48:43	2993/2993	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Dec%202023%2014:50:33%20GMT	https://satumomen.com/fonts/million_dreams/milliondreams-webfont.woff	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/million_dreams/milliondreams-webfont.woff	(from https://satumomen.com/fonts/million_dreams/fonts.css)
21:48:44	27790/27790	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-6c8e%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.eot	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/brittany_signature/BrittanySignature.eot	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
21:48:44	27790/27790	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-6c8e%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.eot?	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/brittany_signature/BrittanySignatured41d.eot	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
21:48:44	16436/16436	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-4034%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.woff2	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/brittany_signature/BrittanySignature.woff2	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
21:48:44	19416/19416	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264739ad6-4bd8%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.woff	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/brittany_signature/BrittanySignature.woff	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
21:48:45	27536/27536	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-6b90%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.ttf	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/brittany_signature/BrittanySignature.ttf	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
21:48:45	89959/89959	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264739ad6-15f67%22	https://satumomen.com/fonts/brittany_signature/BrittanySignature.svg	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/brittany_signature/BrittanySignature.svg	(from https://satumomen.com/fonts/brittany_signature/BrittanySignature.css)
21:48:45	37256/37256	---M--	200	added ('OK')	application/octet-stream	etag:%226494f9f9-9188%22	https://satumomen.com/fonts/photograph_signature/PhotographSignature.ttf	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/photograph_signature/PhotographSignature.ttf	(from https://satumomen.com/fonts/photograph_signature/fonts.css)
21:48:46	94180/94180	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-16fe4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.eot	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/heatwood/fonts/Heatwood.eot	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
21:48:46	94180/94180	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2264739ad6-16fe4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.eot?	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/heatwood/fonts/Heatwoodd41d.eot	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
21:48:46	41888/41888	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-a3a0%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.woff2	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/heatwood/fonts/Heatwood.woff2	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
21:48:46	51140/51140	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2264739ad6-c7c4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.woff	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/heatwood/fonts/Heatwood.woff	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
21:48:46	93924/93924	---M--	200	added ('OK')	application/octet-stream	etag:%2264739ad6-16ee4%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.ttf	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/heatwood/fonts/Heatwood.ttf	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
21:48:47	235100/235100	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2264739ad6-3965c%22	https://satumomen.com/fonts/heatwood/fonts/Heatwood.svg	D:/DATA%20D/HAE/Undangan/Nginvite-v2/satumomen.com/fonts/heatwood/fonts/Heatwood.svg	(from https://satumomen.com/fonts/heatwood/Heatwood.css)
21:48:47	43/43	---MCZ	200	added ('OK')	text/plain	etag:W/%2217-49773873e8%22	https://unpkg.com/robots.txt		(from https://unpkg.com/@phosphor-icons/web@2.0.3/src/fill/style.css)
